"都道府県コード","都道府県名","店舗数"
01,北海道,830
02,青森県,
03,岩手県,68
04,宮城県,331
05,秋田県,
06,山形県,140
07,福島県,379
08,茨城県,534
09,栃木県,350
10,群馬県,362
11,埼玉県,886
12,千葉県,775
13,東京都,1741
14,神奈川県,935
15,新潟県,350
16,富山県,54
17,石川県,28
18,福井県,27
19,山梨県,164
20,長野県,374
21,岐阜県,80
22,静岡県,492
23,愛知県,596
24,三重県,45
25,滋賀県,171
26,京都府,197
27,大阪府,595
28,兵庫県,397
29,奈良県,71
30,和歌山県,43
31,鳥取県,
32,島根県,8
33,岡山県,210
34,広島県,405
35,山口県,241
36,徳島県,
37,香川県,
38,愛媛県,
39,高知県,
40,福岡県,682
41,佐賀県,143
42,長崎県,92
43,熊本県,209
44,大分県,83
45,宮崎県,141
46,鹿児島県,4
47,沖縄県,
