"都道府県コード","都道府県名","店舗数"
01,北海道,940
02,青森県,27
03,岩手県,123
04,宮城県,381
05,秋田県,75
06,山形県,172
07,福島県,411
08,茨城県,628
09,栃木県,411
10,群馬県,458
11,埼玉県,1104
12,千葉県,1008
13,東京都,2405
14,神奈川県,1317
15,新潟県,406
16,富山県,128
17,石川県,116
18,福井県,66
19,山梨県,195
20,長野県,440
21,岐阜県,163
22,静岡県,680
23,愛知県,996
24,三重県,119
25,滋賀県,220
26,京都府,303
27,大阪府,1021
28,兵庫県,626
29,奈良県,128
30,和歌山県,68
31,鳥取県,4
32,島根県,24
33,岡山県,285
34,広島県,542
35,山口県,294
36,徳島県,89
37,香川県,103
38,愛媛県,79
39,高知県,21
40,福岡県,898
41,佐賀県,181
42,長崎県,160
43,熊本県,289
44,大分県,151
45,宮崎県,180
46,鹿児島県,178
47,沖縄県,
