"都道府県コード","都道府県名","店舗数"
01,北海道,901
02,青森県,
03,岩手県,95
04,宮城県,358
05,秋田県,39
06,山形県,160
07,福島県,396
08,茨城県,599
09,栃木県,388
10,群馬県,431
11,埼玉県,1026
12,千葉県,888
13,東京都,2144
14,神奈川県,1165
15,新潟県,388
16,富山県,106
17,石川県,85
18,福井県,50
19,山梨県,173
20,長野県,421
21,岐阜県,135
22,静岡県,600
23,愛知県,874
24,三重県,76
25,滋賀県,190
26,京都府,246
27,大阪府,820
28,兵庫県,499
29,奈良県,102
30,和歌山県,53
31,鳥取県,
32,島根県,12
33,岡山県,262
34,広島県,480
35,山口県,266
36,徳島県,74
37,香川県,70
38,愛媛県,8
39,高知県,
40,福岡県,798
41,佐賀県,166
42,長崎県,125
43,熊本県,256
44,大分県,132
45,宮崎県,166
46,鹿児島県,152
47,沖縄県,
