"都道府県コード","都道府県名","店舗数"
01,北海道,1010
02,青森県,91
03,岩手県,148
04,宮城県,407
05,秋田県,108
06,山形県,183
07,福島県,450
08,茨城県,647
09,栃木県,444
10,群馬県,469
11,埼玉県,1217
12,千葉県,1121
13,東京都,2743
14,神奈川県,1444
15,新潟県,428
16,富山県,133
17,石川県,138
18,福井県,69
19,山梨県,210
20,長野県,467
21,岐阜県,198
22,静岡県,741
23,愛知県,1063
24,三重県,175
25,滋賀県,242
26,京都府,355
27,大阪府,1256
28,兵庫県,710
29,奈良県,141
30,和歌山県,84
31,鳥取県,34
32,島根県,61
33,岡山県,307
34,広島県,595
35,山口県,332
36,徳島県,87
37,香川県,102
38,愛媛県,120
39,高知県,41
40,福岡県,1016
41,佐賀県,193
42,長崎県,199
43,熊本県,349
44,大分県,175
45,宮崎県,198
46,鹿児島県,203
47,沖縄県,
