"都道府県コード","都道府県名","店舗数"
01,北海道,880
02,青森県,
03,岩手県,86
04,宮城県,345
05,秋田県,19
06,山形県,156
07,福島県,386
08,茨城県,579
09,栃木県,377
10,群馬県,407
11,埼玉県,984
12,千葉県,858
13,東京都,1998
14,神奈川県,1085
15,新潟県,377
16,富山県,88
17,石川県,72
18,福井県,40
19,山梨県,171
20,長野県,405
21,岐阜県,105
22,静岡県,564
23,愛知県,776
24,三重県,62
25,滋賀県,184
26,京都府,226
27,大阪府,736
28,兵庫県,463
29,奈良県,85
30,和歌山県,49
31,鳥取県,
32,島根県,10
33,岡山県,244
34,広島県,455
35,山口県,258
36,徳島県,30
37,香川県,28
38,愛媛県,
39,高知県,
40,福岡県,754
41,佐賀県,154
42,長崎県,108
43,熊本県,243
44,大分県,114
45,宮崎県,150
46,鹿児島県,107
47,沖縄県,
