"都道府県コード","都道府県名","店舗数"
01,北海道,1002
02,青森県,99
03,岩手県,146
04,宮城県,426
05,秋田県,111
06,山形県,185
07,福島県,454
08,茨城県,645
09,栃木県,457
10,群馬県,475
11,埼玉県,1230
12,千葉県,1159
13,東京都,2848
14,神奈川県,1482
15,新潟県,436
16,富山県,135
17,石川県,135
18,福井県,70
19,山梨県,207
20,長野県,461
21,岐阜県,196
22,静岡県,752
23,愛知県,1068
24,三重県,172
25,滋賀県,230
26,京都府,354
27,大阪府,1267
28,兵庫県,692
29,奈良県,136
30,和歌山県,86
31,鳥取県,44
32,島根県,60
33,岡山県,320
34,広島県,596
35,山口県,326
36,徳島県,80
37,香川県,108
38,愛媛県,124
39,高知県,43
40,福岡県,1025
41,佐賀県,187
42,長崎県,204
43,熊本県,360
44,大分県,181
45,宮崎県,199
46,鹿児島県,206
47,沖縄県,122
