"都道府県コード","都道府県名","店舗数"
01,北海道,1002
02,青森県,96
03,岩手県,144
04,宮城県,416
05,秋田県,107
06,山形県,183
07,福島県,457
08,茨城県,648
09,栃木県,453
10,群馬県,473
11,埼玉県,1222
12,千葉県,1138
13,東京都,2801
14,神奈川県,1466
15,新潟県,435
16,富山県,132
17,石川県,137
18,福井県,69
19,山梨県,206
20,長野県,459
21,岐阜県,195
22,静岡県,742
23,愛知県,1063
24,三重県,170
25,滋賀県,238
26,京都府,358
27,大阪府,1257
28,兵庫県,701
29,奈良県,139
30,和歌山県,88
31,鳥取県,43
32,島根県,60
33,岡山県,318
34,広島県,601
35,山口県,328
36,徳島県,81
37,香川県,106
38,愛媛県,124
39,高知県,42
40,福岡県,1030
41,佐賀県,187
42,長崎県,204
43,熊本県,360
44,大分県,182
45,宮崎県,198
46,鹿児島県,202
47,沖縄県,82
