"都道府県コード","都道府県名","店舗数"
01,北海道,1000
02,青森県,94
03,岩手県,147
04,宮城県,412
05,秋田県,108
06,山形県,184
07,福島県,453
08,茨城県,645
09,栃木県,449
10,群馬県,468
11,埼玉県,1205
12,千葉県,1122
13,東京都,2763
14,神奈川県,1456
15,新潟県,430
16,富山県,131
17,石川県,137
18,福井県,68
19,山梨県,207
20,長野県,462
21,岐阜県,195
22,静岡県,738
23,愛知県,1054
24,三重県,167
25,滋賀県,238
26,京都府,355
27,大阪府,1253
28,兵庫県,697
29,奈良県,140
30,和歌山県,85
31,鳥取県,39
32,島根県,60
33,岡山県,310
34,広島県,598
35,山口県,329
36,徳島県,83
37,香川県,103
38,愛媛県,124
39,高知県,41
40,福岡県,1017
41,佐賀県,188
42,長崎県,202
43,熊本県,354
44,大分県,181
45,宮崎県,196
46,鹿児島県,199
47,沖縄県,42
