"都道府県コード","都道府県名","店舗数"
01,北海道,925
02,青森県,
03,岩手県,114
04,宮城県,368
05,秋田県,60
06,山形県,170
07,福島県,407
08,茨城県,618
09,栃木県,398
10,群馬県,447
11,埼玉県,1072
12,千葉県,955
13,東京都,2295
14,神奈川県,1252
15,新潟県,403
16,富山県,116
17,石川県,108
18,福井県,58
19,山梨県,180
20,長野県,431
21,岐阜県,159
22,静岡県,642
23,愛知県,949
24,三重県,97
25,滋賀県,215
26,京都府,272
27,大阪府,903
28,兵庫県,554
29,奈良県,114
30,和歌山県,59
31,鳥取県,
32,島根県,12
33,岡山県,281
34,広島県,518
35,山口県,277
36,徳島県,85
37,香川県,91
38,愛媛県,50
39,高知県,5
40,福岡県,836
41,佐賀県,170
42,長崎県,145
43,熊本県,273
44,大分県,143
45,宮崎県,172
46,鹿児島県,170
47,沖縄県,
