"都道府県コード","都道府県名","店舗数"
01,北海道,989
02,青森県,70
03,岩手県,143
04,宮城県,404
05,秋田県,99
06,山形県,179
07,福島県,433
08,茨城県,639
09,栃木県,437
10,群馬県,461
11,埼玉県,1196
12,千葉県,1090
13,東京都,2634
14,神奈川県,1400
15,新潟県,420
16,富山県,132
17,石川県,132
18,福井県,67
19,山梨県,210
20,長野県,456
21,岐阜県,183
22,静岡県,717
23,愛知県,1054
24,三重県,163
25,滋賀県,234
26,京都府,340
27,大阪府,1197
28,兵庫県,701
29,奈良県,141
30,和歌山県,78
31,鳥取県,26
32,島根県,55
33,岡山県,301
34,広島県,584
35,山口県,323
36,徳島県,89
37,香川県,104
38,愛媛県,111
39,高知県,41
40,福岡県,993
41,佐賀県,191
42,長崎県,190
43,熊本県,331
44,大分県,166
45,宮崎県,191
46,鹿児島県,191
47,沖縄県,
