"都道府県コード","都道府県名","店舗数"
01,北海道,843
02,青森県,
03,岩手県,78
04,宮城県,334
05,秋田県,
06,山形県,150
07,福島県,372
08,茨城県,556
09,栃木県,364
10,群馬県,379
11,埼玉県,930
12,千葉県,814
13,東京都,1858
14,神奈川県,999
15,新潟県,359
16,富山県,72
17,石川県,46
18,福井県,31
19,山梨県,170
20,長野県,389
21,岐阜県,88
22,静岡県,523
23,愛知県,661
24,三重県,51
25,滋賀県,179
26,京都府,209
27,大阪府,646
28,兵庫県,426
29,奈良県,78
30,和歌山県,45
31,鳥取県,
32,島根県,8
33,岡山県,226
34,広島県,430
35,山口県,246
36,徳島県,
37,香川県,
38,愛媛県,
39,高知県,
40,福岡県,706
41,佐賀県,148
42,長崎県,99
43,熊本県,227
44,大分県,92
45,宮崎県,143
46,鹿児島県,56
47,沖縄県,
